,city,job_title,company_name,location,summary,salary
70,New+York,Data Science Manager,Capital One,"New York, NY 10261 (Murray Hill area)","Data Science Manager. Writing software to clean and investigate large, messy data sets of numerical and textual data....",nothing_found
71,New+York,Data Science Manager,Capital One,"New York, NY 10261 (Murray Hill area)","Data Science Manager. Writing software to clean and investigate large, messy data sets of numerical and textual data....",nothing_found
72,New+York,Market Research Analyst,"TPR Education, LLC","New York, NY 10012 (Little Italy area)","Director, Data Science & Research JOB SUMMARY:. Leverage data from multiple sources (quantitative and qualitative) to drive insights into customer profiles,...",nothing_found
73,New+York,"Financial Analyst, Business Support",Environmental Defense Fund,"New York, NY 10010 (Gramercy area)","The ability to develop formulas, charts and spreadsheets that clearly present data to facilitate decision-making by management....",nothing_found
74,New+York,"(Portal) ANALYST, NICKELODEON RESEARCH",BET Networks,"New York, NY 10019 (Midtown area)","Collect, analyze, and interpret Nielsen ratings data on Nickelodeon channels and key competitors. The Research department at Nickelodeon does analytical...",nothing_found
75,New+York,"(Portal) ANALYST, NICKELODEON RESEARCH",Viacom,"New York, NY","Collect, analyze, and interpret Nielsen ratings data on Nickelodeon channels and key competitors. The Research department at Nickelodeon does analytical...",nothing_found
76,New+York,"Research Analyst, Proposals",Sotheby’s,"New York, NY","Manage and update competitive data, including sale results and market share figures. Present art market data in the most effective way—statistically and...",nothing_found
77,New+York,"Research Analyst, TruTV",Turner,"New York, NY",The ability to interpret data into usable formats using data visualization tools. Turning data into knowledge and communicating the stories you discover....,nothing_found
78,New+York,OGIQ Research Analyst,Options Group,"New York, NY 10003 (Greenwich Village area)",Maintain all pertinent applicant and interview data. An OGiQ Research Analyst’s primary role is to be the catalyst for growth to leverage the firm’s recruiting...,nothing_found
79,New+York,Equity Research Analyst (Biotech),Robert W. Baird,"New York, NY",Collect industry data and provide a level of expertise in a sector that helps clients to decide where to invest....,nothing_found
80,New+York,Product Research Analyst,AllianceBernstein,"New York, NY","Job Number: 9432 Position Title: B1-VP-5 Location_formattedLocationLong: New York, New York US External Description: The Global Product Strategy Research...",nothing_found
81,New+York,Equity Research Analyst (Biotech),Robert W. Baird,"New York, NY",Collect industry data and provide a level of expertise in a sector that helps clients to decide where to invest....,nothing_found
82,New+York,Product Research Analyst,AllianceBernstein,"New York, NY","Job Number: 9432 Position Title: B1-VP-5 Location_formattedLocationLong: New York, New York US External Description: The Global Product Strategy Research...",nothing_found
83,New+York,"Research Analyst, CCA",Simons Foundation,"New York, NY 10010 (Gramercy area)","Under the direction of an Associate Research Scientist, the people in these positions will assist in the development of novel codes and algorithms for the...",nothing_found
84,New+York,"Analyst, Equity Research","The Segal Group, Inc.","New York, NY",Performing essential data collection as well as running analytics to analyze investment portfolios. The Analyst will be a supporting member of the research team...,nothing_found
85,New+York,Portfolio Research Analyst,"Two Sigma Investments, LLC.","New York, NY","Proactively analyzing data, running simulations, and pursuing wide-ranging research to improve performance;...",nothing_found
86,New+York,Sr. Specialist – Data Science,Sapient Global Markets,"New York, NY",Should be able to guide and direct a team of junior data scientists and data analysts. Understanding of data visualization patterns....,nothing_found
87,New+York,"HBO Director, Data Science",HBO,"New York, NY",The Director of Data Science will lead the Data Science area within Data Science & Analytics at HBO. Lead a team of talented data scientists in the design and...,nothing_found
88,New+York,Research Associate,Gemological Institute of America,"New York, NY 10065 (Upper East Side area)","May perform data analysis, data file management, and database construction. Prepare samples, conducts data collection, analysis, interpretation and publication....",nothing_found
89,New+York,Research Associate,MDRC,"New York, NY 10016 (Gramercy area)","Travel to research sites and collect and analyze quantitative data, to diagnose choice architecture of programs....",nothing_found
90,New+York,Ultimate Hoops Statistician,Life Time Fitness,"Westchester, NY",Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....,nothing_found
91,New+York,Research Associate,MDRC,"New York, NY 10016 (Gramercy area)","Travel to research sites and collect and analyze quantitative data, to diagnose choice architecture of programs....",nothing_found
92,New+York,Data Science Manager,"Two Sigma Investments, LLC.","New York, NY",Lead Data Scientist Responsibilities:. Proven track record in building a team of data scientists and data domain experts....,nothing_found
93,New+York,SMX - Research Analyst,Ipsos North America,"New York, NY","Find new spins on data visualization, attend and learn at the presentation stage. The ideal candidate is a business-minded individual who is interested in and...",nothing_found
94,New+York,Market Research Analyst,Penn Schoen Berland,"New York, NY",We are seeking qualified Analysts to join our team. Analysts work as part of a dynamic communications consulting/market research team conducting custom...,nothing_found
95,New+York,Market Research Analyst / Methodologist,Kantar Health,"New York, NY","Experience working in the pharmaceutical industry/with pharmaceutical survey data is desired. Join us at Kantar Health and you’ll be part of 30,000 colleagues...",nothing_found
96,New+York,Business Analyst,ACLU,"New York, NY","Building complex data sets from multiple data sources, both internally and externally. This role will also encourage the Business Analyst to grow into an...",nothing_found
97,New+York,"Research Analyst, Telemundo Owned Television Stations",NBCUniversal,"New York, NY",Analyze and interpret ratings data across the Telemundo Station Group to support our sales organization....,nothing_found
98,New+York,Research Analyst - Public Credit Group,AIG,"New York, NY",(1) assist the research team in underwriting new investment proposals and provide market / research data to the portfolio management team;...,nothing_found
99,New+York,Ultimate Hoops Statistician,Life Time Fitness,"Westchester, NY",Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....,nothing_found
100,New+York,"Director, Data Science",NBCUniversal,"New York, NY","Lead and manage a team of data scientists in the design and execution of advanced analytical data exploration, mining, inference, models and systems utilizing...",nothing_found
101,New+York,Planning Associate,Mindshare,New York State,"Media Planners at Mindshare are part psychologists, part scientists, part artists, part entrepreneurs, and part politicians....",nothing_found
102,New+York,"Senior Director, Programming Research & Data Analysis",SiriusXM,"New York, NY 10020 (Midtown area)",Collaborates with other members of the organization on designing cross-functional studies and data analysis....,nothing_found
103,New+York,"Global Manager, Data Science",ZX Ventures,"New York, NY","Lead a team of data scientists to apply machine learning, artificial intelligence, quantitative analysis, statistical analysis, predictive analysis,...",nothing_found
104,New+York,Research Support Specialist I,Cornell University,New York State,"Collect, prepare, verify, select and analyze research data; Input data into graphics and figures, prepare summarization of and recommend to the supervisor....",nothing_found
105,New+York,"Research Associate, Center for Genomics of Neurodegenerative Disease",New York Genome Center,"New York, NY 10013 (Tribeca area)","Consult with scientific literature and other scientists as needed to better understand scientific experiments and problems, and propose solutions to emerging...",nothing_found
106,New+York,Equity Research - Medical Devices Analyst/Associate,Morgan Stanley,"New York, NY 10032 (Washington Heights area)","Write research reports for initiations of coverage, analysis of data, earnings results, and industry news.•Interact with institutional investors, respond to...",nothing_found
107,New+York,Research Analyst,Cumulus Media,"New York, NY","Develop insights-driven analyses and reports that communicate complex data in clear, action-focused manners. Westwood One, Inc....",nothing_found
108,New+York,Analyst - Team IBM Media,GroupM,"New York, NY","To use technology and data to make marketing as simple, streamlined and effective as IBM’s Watson has made data science....",nothing_found
109,New+York,"Bioinformatics Analyst, Molecular Diagnostics",New York Genome Center,"New York, NY 10013 (Tribeca area)",Analyze sequencing data using established workflows; Benchmark new tools for sequencing data analysis and propose improvements;...,nothing_found
110,New+York,Research Analyst – Healthcare & Life Sciences,Oliver Wyman,"New York, NY 10036",Excellent research synthesis skills allowing you to draw out key insights and to provide basic data analysis....,nothing_found
